Portfolio Return,Portfolio Risk,Sharpe Ratio,Weights,Fund Distribution
0.3029724832166055,0.30900594610102944,0.980474605875541,[0.         0.39473125 0.         0.         0.3179998  0.28726895],[    0. 19736.     0.     0. 15899. 14363.]
0.3214266633559159,0.34804453124887325,0.9235216602960385,[0.         0.47881563 0.         0.         0.         0.52118437],[    0. 23940.     0.     0.     0. 26059.]
0.299226459672432,0.3056464288352028,0.978995438660164,[0.         0.37149984 0.         0.         0.38335319 0.24514696],[    0. 18574.     0.     0. 19167. 12257.]
0.28925462771829885,0.30879132625266054,0.9367317120870932,[0.         0.12112873 0.         0.         0.58186946 0.29700181],[    0.  6056.     0.     0. 29093. 14850.]
0.31049946703370024,0.34754927249869444,0.8933969701659111,[0.         0.18131131 0.         0.         0.22054905 0.59813964],[    0.  9065.     0.     0. 11027. 29906.]
0.3095649724250947,0.3518566017497293,0.8798043603151829,[0.         0.14001917 0.         0.         0.24147407 0.61850676],[    0.  7000.     0.     0. 12073. 30925.]
0.3235397754198381,0.3967112462965288,0.8155548360179398,[0.         0.20878012 0.         0.         0.         0.79121988],[    0. 10439.     0.     0.     0. 39560.]
0.2815299769045588,0.3120454448710338,0.9022082569444754,[0.         0.05596026 0.         0.         0.71888196 0.22515778],[    0.  2798.     0.     0. 35944. 11257.]
0.3016185053252398,0.31509120343474695,0.9572419097624945,[0.         0.23468328 0.         0.         0.36136672 0.40395   ],[    0. 11734.     0.     0. 18068. 20197.]
0.3118630957038673,0.3353825158672816,0.929872849505603,[0.         0.29145457 0.         0.         0.18351927 0.52502616],[    0. 14572.     0.     0.  9175. 26251.]
0.29526421848655965,0.30347959972166294,0.9729293789676866,[0.         0.32123945 0.         0.         0.45582338 0.22293717],[    0. 16061.     0.     0. 22791. 11146.]
0.29000030337881644,0.30678858467355,0.9452773599363294,[0.         0.15286191 0.         0.         0.56533073 0.28180736],[    0.  7643.     0.     0. 28266. 14090.]
0.30385796068336995,0.31701692263802905,0.9584912948963168,[0.         0.26326037 0.         0.         0.3203845  0.41635513],[    0. 13163.     0.     0. 16019. 20817.]
0.2997147972904439,0.31885977598166904,0.9399579999318391,[0.         0.16634019 0.         0.         0.40194019 0.43171962],[    0.  8317.     0.     0. 20097. 21585.]
0.2815922688506844,0.3081308358811166,0.9138724076266377,[0.         0.14505078 0.         0.         0.70624572 0.14870349],[    0.  7252.     0.     0. 35312.  7435.]
0.30698332059061784,0.32047773684473424,0.9578928121904012,[0.         0.58474002 0.         0.         0.22652549 0.18873449],[    0. 29237.     0.     0. 11326.  9436.]
0.31008714549572436,0.33359189925398347,0.9295403940838397,[0.         0.26229968 0.         0.         0.21686464 0.52083569],[    0. 13114.     0.     0. 10843. 26041.]
0.29681954879183375,0.31370992729612845,0.9461592476531643,[0.         0.50306634 0.         0.         0.40627058 0.09066308],[    0. 25153.     0.     0. 20313.  4533.]
0.3083718452010904,0.32082823567101904,0.9611742699520327,[0.         0.57938691 0.         0.         0.20411936 0.21649373],[    0. 28969.     0.     0. 10205. 10824.]
0.32119591287098487,0.34543504400151176,0.9298301328963577,[0.         0.50830334 0.         0.         0.         0.49169666],[    0. 25415.     0.     0.     0. 24584.]
0.3055003895125264,0.31384639289071925,0.9734073624319177,[0.         0.35334339 0.         0.         0.28132776 0.36532885],[    0. 17667.     0.     0. 14066. 18266.]
0.3066669709936326,0.3181345307880644,0.9639537406831473,[0.         0.3226623  0.         0.         0.26591222 0.41142548],[    0. 16133.     0.     0. 13295. 20571.]
0.29205539722818913,0.3091937757814,0.9445707517562458,[0.         0.14366858 0.         0.         0.53233382 0.32399759],[    0.  7183.     0.     0. 26616. 16199.]
0.3192023718683171,0.3482877373799236,0.9164904118347434,[0.         0.76305881 0.         0.         0.         0.23694119],[    0. 38152.     0.     0.     0. 11847.]
0.2974311670353884,0.34107515278723943,0.8720399730229664,[0.         0.         0.         0.         0.46159449 0.53840551],[    0.     0.     0.     0. 23079. 26920.]
0.31098912206118423,0.32922844292535325,0.9445998021856682,[0.         0.32215146 0.         0.         0.19406417 0.48378438],[    0. 16107.     0.     0.  9703. 24189.]
0.28450391974921707,0.3055774242262725,0.931037102854002,[0.         0.18224979 0.         0.         0.65295652 0.16479369],[    0.  9112.     0.     0. 32647.  8239.]
0.3039610173745649,0.3616371157948415,0.8405138856018404,[0.         0.         0.         0.         0.35294688 0.64705312],[    0.     0.     0.     0. 17647. 32352.]
0.3154957551758416,0.3384974442241931,0.9320476729120677,[0.         0.70826161 0.         0.         0.06880765 0.22293074],[    0. 35413.     0.     0.  3440. 11146.]
0.31539515850527466,0.35023616086693604,0.9005214016867368,[0.         0.79947641 0.         0.         0.05860507 0.14191853],[    0. 39973.     0.     0.  2930.  7095.]
0.32217724271180437,0.36048161469301016,0.8937411218216325,[0.         0.38289877 0.         0.         0.         0.61710123],[    0. 19144.     0.     0.     0. 30855.]
0.30474643865566386,0.31162930443144315,0.9779132909585097,[0.         0.37815033 0.         0.         0.29064253 0.33120714],[    0. 18907.     0.     0. 14532. 16560.]
0.295476149605571,0.31270337873279447,0.9449087208554143,[0.         0.48433625 0.         0.         0.43106157 0.08460218],[    0. 24216.     0.     0. 21553.  4230.]
0.313116851788865,0.32466779831208054,0.964422259973832,[0.         0.49498228 0.         0.         0.13615874 0.36885897],[    0. 24749.     0.     0.  6807. 18442.]
0.31624045906202514,0.36781636924638267,0.8597780998979703,[0.         0.19124821 0.         0.         0.12373314 0.68501865],[    0.  9562.     0.     0.  6186. 34250.]
0.2982501058717413,0.3069320144097937,0.9717139036318938,[0.         0.42595804 0.         0.         0.39250778 0.18153418],[    0. 21297.     0.     0. 19625.  9076.]
0.30119576958865457,0.30730408679216803,0.9801228897823134,[0.         0.39689409 0.         0.         0.34728023 0.25582568],[    0. 19844.     0.     0. 17364. 12791.]
0.30869933843779696,0.35399593489901027,0.8720420434372057,[0.         0.11331614 0.         0.         0.25935381 0.62733005],[    0.  5665.     0.     0. 12967. 31366.]
0.3025958161592924,0.3386242498247398,0.8936035039307004,[0.         0.08810763 0.         0.         0.36419011 0.54770226],[    0.  4405.     0.     0. 18209. 27385.]
0.2998006141004037,0.3078017566172101,0.9740055332862937,[0.         0.43841777 0.         0.         0.3650872  0.19649503],[    0. 21920.     0.     0. 18254.  9824.]
0.30839029372906457,0.3229791257313155,0.9548304183150608,[0.         0.31401449 0.         0.         0.2383645  0.44762101],[    0. 15700.     0.     0. 11918. 22381.]
0.3132350347020959,0.3738916865962222,0.8377694555171231,[0.         0.92131747 0.         0.         0.07868253 0.        ],[    0. 46065.     0.     0.  3934.     0.]
0.2949444275680752,0.3055114743100699,0.9654119480590441,[0.         0.39241739 0.         0.         0.45187673 0.15570588],[    0. 19620.     0.     0. 22593.  7785.]
0.2983368671611711,0.33145295208992936,0.9000881279833246,[0.         0.63632622 0.         0.         0.36367378 0.        ],[    0. 31816.     0.     0. 18183.     0.]
0.31331582856706897,0.32600004866006305,0.9610913552156535,[0.         0.45621362 0.         0.         0.13789581 0.40589057],[    0. 22810.     0.     0.  6894. 20294.]
0.31073795899234563,0.32312218781828617,0.9616732329353221,[0.         0.58181186 0.         0.         0.16443479 0.25375335],[    0. 29090.     0.     0.  8221. 12687.]
0.2958220627523743,0.3368735002443299,0.8781399027760227,[0.         0.         0.         0.         0.48836774 0.51163226],[    0.     0.     0.     0. 24418. 25581.]
0.3148124792278244,0.3289795801244178,0.9569362302327837,[0.         0.47454165 0.         0.         0.11060728 0.41485107],[    0. 23727.     0.     0.  5530. 20742.]
0.29379382803844667,0.3044939551320163,0.9648593119396065,[0.         0.23508929 0.         0.         0.49150557 0.27340514],[    0. 11754.     0.     0. 24575. 13670.]
0.3062850927127385,0.31474092570303636,0.9731339895775866,[0.         0.36528576 0.         0.         0.26671647 0.36799777],[    0. 18264.     0.     0. 13335. 18399.]
0.3045160541093369,0.3191775560406979,0.9540647465528825,[0.         0.25637608 0.         0.         0.31033109 0.43329283],[    0. 12818.     0.     0. 15516. 21664.]
0.3001338816030746,0.310311833116671,0.9672008914021345,[0.         0.479132   0.         0.         0.35424101 0.16662699],[    0. 23956.     0.     0. 17712.  8331.]
0.29451995924426366,0.3210142144347907,0.9174670341711333,[0.         0.07524256 0.         0.         0.50023617 0.42452127],[    0.  3762.     0.     0. 25011. 21226.]
0.29374016337821923,0.3054969844926256,0.9615157539642093,[0.         0.21438318 0.         0.         0.49509446 0.29052236],[    0. 10719.     0.     0. 24754. 14526.]
0.29735502378811707,0.3156595060008689,0.9420119405093998,[0.         0.15430816 0.         0.         0.44277013 0.40292171],[    0.  7715.     0.     0. 22138. 20146.]
0.3032730330529172,0.3135047483747628,0.9673634438556745,[0.         0.29078671 0.         0.         0.32653289 0.3826804 ],[    0. 14539.     0.     0. 16326. 19134.]
0.31051532361498557,0.3342581369264078,0.928968630263593,[0.         0.26731268 0.         0.         0.20908764 0.52359967],[    0. 13365.     0.     0. 10454. 26179.]
0.29985861293259686,0.3207122988103961,0.9349769685941235,[0.         0.15462321 0.         0.         0.40107288 0.44430392],[    0.  7731.     0.     0. 20053. 22215.]
0.3063217154935364,0.316629567521918,0.9674450743527984,[0.         0.3332468  0.         0.         0.27027866 0.39647453],[    0. 16662.     0.     0. 13513. 19823.]
0.3195033922965098,0.3734249128954171,0.8556027765238877,[0.         0.23342102 0.         0.         0.06395149 0.7026275 ],[    0. 11671.     0.     0.  3197. 35131.]
0.3027823144536793,0.3137531321310578,0.9650335994963203,[0.         0.27535351 0.         0.         0.3367072  0.38793929],[    0. 13767.     0.     0. 16835. 19396.]
0.30242050859284486,0.3085052082312646,0.98027683333677,[0.         0.37741913 0.         0.         0.32943797 0.2931429 ],[    0. 18870.     0.     0. 16471. 14657.]
0.303326338205993,0.315098479968557,0.9626398014876532,[0.         0.2721172  0.         0.         0.32807678 0.39980602],[    0. 13605.     0.     0. 16403. 19990.]
0.30657549513856175,0.33459446995633974,0.9162598986724613,[0.         0.18122556 0.         0.         0.28584964 0.53292481],[    0.  9061.     0.     0. 14292. 26646.]
0.32303758015073575,0.38151356916671725,0.8467263192140143,[0.         0.27295587 0.         0.         0.         0.72704413],[    0. 13647.     0.     0.     0. 36352.]
0.30993422376018565,0.3222613222213678,0.9617481292008279,[0.         0.37122726 0.         0.         0.20522642 0.42354632],[    0. 18561.     0.     0. 10261. 21177.]
0.31072741217527944,0.33529635154732573,0.9267247041052921,[0.         0.7052227  0.         0.         0.14854191 0.14623539],[    0. 35261.     0.     0.  7427.  7311.]
0.3216701349081671,0.35142993415168045,0.9153179727977618,[0.        0.4477023 0.        0.        0.        0.5522977],[    0. 22385.     0.     0.     0. 27614.]
0.3069295811900508,0.31854962853985186,0.9635220188356072,[0.         0.3249475  0.         0.         0.26124521 0.41380729],[    0. 16247.     0.     0. 13062. 20690.]
0.30154696169045603,0.3189034763140465,0.9455743950357622,[0.         0.57099544 0.         0.         0.3187685  0.11023606],[    0. 28549.     0.     0. 15938.  5511.]
0.29199447920873156,0.3283892147516587,0.889171952341826,[0.         0.         0.         0.         0.55205339 0.44794661],[    0.     0.     0.     0. 27602. 22397.]
0.3126777915354244,0.3295425430978915,0.948823750026541,[0.         0.37004087 0.         0.         0.15973175 0.47022738],[    0. 18502.     0.     0.  7986. 23511.]
0.3215460476038845,0.34962448953083153,0.9196897163450247,[0.         0.46355947 0.         0.         0.         0.53644053],[    0. 23177.     0.     0.     0. 26822.]
0.3065171662465407,0.32207591636414196,0.9516922895283781,[0.         0.60279681 0.         0.         0.23193061 0.16527258],[    0. 30139.     0.     0. 11596.  8263.]
0.31466079526780333,0.38377111754060866,0.8199178648052053,[0.         0.08663907 0.         0.         0.16363689 0.74972403],[    0.  4331.     0.     0.  8181. 37486.]
0.2979249618165104,0.30488052354573847,0.9771859427150826,[0.         0.36628512 0.         0.         0.40568727 0.22802761],[    0. 18314.     0.     0. 20284. 11401.]
0.2971257819771578,0.30491642813011965,0.9744498969742709,[0.         0.29284377 0.         0.         0.42854674 0.27860949],[    0. 14642.     0.     0. 21427. 13930.]
0.2981106868458811,0.3053696367816534,0.9762289728203638,[0.         0.38672072 0.         0.         0.39993631 0.21334297],[    0. 19336.     0.     0. 19996. 10667.]
0.2970745966432267,0.3079786077794006,0.9645949073710203,[0.         0.44134504 0.         0.         0.41006319 0.14859177],[    0. 22067.     0.     0. 20503.  7429.]
0.2969122275083203,0.30721456524775,0.9664653343140763,[0.         0.42938088 0.         0.         0.41432255 0.15629657],[    0. 21469.     0.     0. 20716.  7814.]
0.30213826319312087,0.31784273524079804,0.9505904326056739,[0.         0.21879295 0.         0.         0.35478763 0.42641942],[    0. 10939.     0.     0. 17739. 21320.]
0.3108084335331137,0.33450762037337606,0.9291520270485635,[0.         0.27238611 0.         0.         0.20355013 0.52406376],[    0. 13619.     0.     0. 10177. 26203.]
0.30976675753366034,0.3187032674737815,0.9719597793553957,[0.         0.44653429 0.         0.         0.19820768 0.35525803],[    0. 22326.     0.     0.  9910. 17762.]
0.31341433349397146,0.33748468409926663,0.9286772059907311,[0.         0.71372245 0.         0.         0.10272859 0.18354895],[    0. 35686.     0.     0.  5136.  9177.]
0.30210552500081167,0.3236793599786418,0.9333481289036976,[0.         0.1715105  0.         0.         0.36148863 0.46700087],[    0.  8575.     0.     0. 18074. 23350.]
0.30845427189345764,0.3594810801227043,0.8580542591787326,[0.         0.08270458 0.         0.         0.26741707 0.64987835],[    0.  4135.     0.     0. 13370. 32493.]
0.2952974059983127,0.30977460163690335,0.9532653885693321,[0.         0.17918423 0.         0.         0.4737671  0.34704867],[    0.  8959.     0.     0. 23688. 17352.]
0.30261400493800905,0.30872713207610225,0.9801989313443747,[0.         0.41480978 0.         0.         0.32135011 0.26384011],[    0. 20740.     0.     0. 16067. 13192.]
0.3161077339310502,0.3343251547822332,0.9455098708828861,[0.         0.43703434 0.         0.         0.09393959 0.46902607],[    0. 21851.     0.     0.  4696. 23451.]
0.3123998455338481,0.32350977640943646,0.9656581294114353,[0.         0.53455606 0.         0.         0.14293613 0.32250781],[    0. 26727.     0.     0.  7146. 16125.]
